pr_number,title,state,merged,draft,created_at,updated_at,closed_at,merged_at,base_sha,head_sha,merge_commit_sha,commits,changed_files,additions,deletions,metadata_notes
20,docs: add physical decay multi-agent audit,closed,true,false,2026-05-04T19:27:23Z,2026-05-04T19:30:27Z,2026-05-04T19:30:27Z,2026-05-04T19:30:27Z,7ac6fede8d81ec9af9cf1d4af953d78126444a50,98f961bd09e2fa9323371850fe6332e31d730a61,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
21,feat: add spectral energy diagnostics,closed,true,false,2026-05-04T19:56:51Z,2026-05-04T19:58:32Z,2026-05-04T19:58:32Z,2026-05-04T19:58:32Z,12b5082d635521008109b9807562627b0a8c4061,cad55feef0632d8241625686ee7e246742011a31,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
22,feat: add spectral evidence to physical decay validation,closed,true,false,2026-05-04T22:34:35Z,2026-05-04T23:06:04Z,2026-05-04T23:06:04Z,2026-05-04T23:06:04Z,85f97fee931415e79bbddd2ac382b19591b820e9,d7d1cfc50d49df49026bbc56aa291a0a72bb8203,unknown,4,unknown,unknown,unknown,stats unavailable in bulk metadata
23,docs: add external validation checklist (2D),closed,true,false,2026-05-04T23:56:52Z,2026-05-05T00:00:23Z,2026-05-05T00:00:23Z,2026-05-05T00:00:23Z,777f60ac724aaf0dbaf3e01322c1ff4a2ba5b281,e35fc8d1b6c89995861a5ecb9cd1d0d3004cdfcb,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
24,feat: add 2D stress validation harness,closed,true,false,2026-05-05T00:27:11Z,2026-05-05T00:28:18Z,2026-05-05T00:28:18Z,2026-05-05T00:28:18Z,c397bca3c6e1b19f61b2677fac425de73f60e095,bdf3264ab5ac263561caa00cb3a2fd7d45f3b857,unknown,6,unknown,unknown,unknown,stats unavailable in bulk metadata
25,fix: make validation report JSON-safe for stress runs,closed,true,false,2026-05-05T00:34:44Z,2026-05-05T00:41:27Z,2026-05-05T00:41:27Z,2026-05-05T00:41:27Z,0848b20d5bf2b588b9c65dc556dd22105d9f8068,dbc90a889c246d0a08bc05202c3e31645d7d06c3,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
26,feat: add external reference validation harness (2D),closed,true,false,2026-05-05T15:26:42Z,2026-05-05T15:30:52Z,2026-05-05T15:30:51Z,2026-05-05T15:30:51Z,a7b1ebad6d195ffd47a9021f9577270e599d2138,925fc269a7419057aa61c011cf68e5716b0b6844,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
27,feat: add time refinement validation harness (2D),closed,true,false,2026-05-05T16:06:15Z,2026-05-05T16:09:35Z,2026-05-05T16:09:34Z,2026-05-05T16:09:34Z,dece8cc339c61db68e0d7c2a34a56f317551a36c,951e99bfc946bb5b2e4763282c9f3f851f78eac6,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
28,fix: apply dealiasing to nonlinear RHS term,closed,false,false,2026-05-05T19:20:08Z,2026-05-05T19:38:34Z,2026-05-05T19:38:34Z,,cfe9acdd2cafc792c55b4d84e66f23fe192cf091,cfe9acdd2cafc792c55b4d84e66f23fe192cf091,unknown,0,unknown,unknown,unknown,closed unmerged superseded by PR 29
29,fix: apply dealiased velocity and nonlinear RHS filtering,closed,true,false,2026-05-05T19:45:23Z,2026-05-05T19:51:55Z,2026-05-05T19:51:55Z,2026-05-05T19:51:55Z,cfe9acdd2cafc792c55b4d84e66f23fe192cf091,b084f816cda1f0b55433e096dbaa7ad4e6b345b1,unknown,3,unknown,unknown,unknown,stats unavailable in bulk metadata
30,docs: add scientific evidence traceability,closed,true,false,2026-05-05T20:08:26Z,2026-05-05T20:08:35Z,2026-05-05T20:08:34Z,2026-05-05T20:08:34Z,9a664c395c6235c9139e68f93a2298ae8beb2218,a66c130be13ab71050ab67a8c34687c0570774b8,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
31,ci: add automated validation workflow,closed,true,false,2026-05-05T20:14:10Z,2026-05-05T20:16:49Z,2026-05-05T20:14:18Z,2026-05-05T20:14:18Z,88c5fe4856d2f5696fa09ce33e2d3b62d944752d,785b76aa483a601b7aa8acf354f82a44b5318199,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
32,docs: define chief scientific reviewer agent,closed,true,false,2026-05-05T21:00:53Z,2026-05-05T21:02:46Z,2026-05-05T21:01:02Z,2026-05-05T21:01:02Z,b204393fd41f63270716343e6d73839bf77d1bd4,4b76ba8ccfc3af8cdd0200baa976552fdfb97567,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
33,ci: fail on validation status failures,closed,true,false,2026-05-05T21:29:41Z,2026-05-05T21:29:51Z,2026-05-05T21:29:50Z,2026-05-05T21:29:50Z,49f0978c383d2a29d8bc0049cf663f11c5cf21f9,20a5c6299a1f647f14b5a4b0f61dceb2b75b414a,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
34,feat: add multi-resolution energy enstrophy validation,closed,true,false,2026-05-05T23:40:25Z,2026-05-05T23:43:05Z,2026-05-05T23:40:34Z,2026-05-05T23:40:34Z,5b2b01c6dc6f3cfe4f82cfc2785645d62abd7d0a,499a32c0716ca7229cdcc457d89d3b59b70ff138,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
35,chore: standardize validation JSON schema,closed,true,false,2026-05-06T00:10:09Z,2026-05-06T00:13:09Z,2026-05-06T00:13:09Z,2026-05-06T00:13:09Z,5579a86ee9209ec80513c3ac1c2bc778a13c1be7,2c2b9b398b728536d83841aefe0117cd8bbab999,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
36,feat: add consolidated scientific validation report,closed,true,false,2026-05-06T00:27:12Z,2026-05-06T00:29:57Z,2026-05-06T00:27:20Z,2026-05-06T00:27:20Z,5cb276ae1fcbf9de5d94c0ad9f06cba8151ea98c,46f31051352c8ca17615c100a67db240ef6e56b2,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
37,feat: add reproducible validation figures,closed,true,false,2026-05-06T01:09:41Z,2026-05-06T01:26:18Z,2026-05-06T01:26:18Z,2026-05-06T01:26:18Z,cd405249937618ae66c2e05365a629486106a269,09d3fac62d6194225317ad66b0fee5d6da4f3682,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
38,feat: add reproducible validation figures,closed,true,false,2026-05-06T01:26:38Z,2026-05-06T01:33:30Z,2026-05-06T01:33:30Z,2026-05-06T01:33:30Z,84ae9fa458ac6ea662f34c1933fadd3699afd5b6,09d3fac62d6194225317ad66b0fee5d6da4f3682,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
39,ci: generate validation figures before scientific report,closed,true,false,2026-05-06T01:50:07Z,2026-05-06T01:51:37Z,2026-05-06T01:51:37Z,2026-05-06T01:51:37Z,788682e99193e9f486287f4bbf9564ad67b33865,a5a718c19ce8664cfe74a617c2b47f716fe9dc70,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
40,docs: define controlled 2D forcing V&V design,closed,true,false,2026-05-06T01:55:54Z,2026-05-06T01:58:46Z,2026-05-06T01:58:46Z,2026-05-06T01:58:46Z,0eda1277e64da7280c512e0cf4e2a1bc42467fe5,6dade414c6e070a67b08ce2eb58ce9cc80df6673,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
41,config: add disabled forcing defaults,closed,true,false,2026-05-06T02:04:13Z,2026-05-06T02:05:37Z,2026-05-06T02:05:36Z,2026-05-06T02:05:36Z,db73316c970ea5f41d04bddd216bd907ce7887ab,6e9a8e003a5bcaf41ce40fa3525bccf26813f106,unknown,3,unknown,unknown,unknown,stats unavailable in bulk metadata
42,solver: add opt-in Ekman drag term,closed,true,false,2026-05-06T02:07:11Z,2026-05-06T02:09:02Z,2026-05-06T02:07:17Z,2026-05-06T02:07:17Z,13984c5b212413c02000c556f9f9714030deadf8,3802150a4e2e9d9adfa1a4ef041e366906c1769a,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
43,solver: add opt-in Ekman drag term,closed,true,false,2026-05-06T02:07:58Z,2026-05-06T02:10:16Z,2026-05-06T02:09:19Z,2026-05-06T02:09:19Z,6458093e211cc587650e7ddd03ba49b73b490360,e34eeae7e2b13d03de37fb827481fc828a23875e,unknown,3,unknown,unknown,unknown,stats unavailable in bulk metadata
44,solver: add deterministic narrow-band Fourier forcing,closed,true,false,2026-05-06T02:12:46Z,2026-05-06T02:15:15Z,2026-05-06T02:14:21Z,2026-05-06T02:14:21Z,98b95f2d5f634a49f796b750cade5345e54d684f,812fa1898977dd412ac63dfbdfb6dd0d54e6eae1,unknown,4,unknown,unknown,unknown,stats unavailable in bulk metadata
45,config: enable OU narrow-band forcing gate,closed,true,false,2026-05-06T02:16:13Z,2026-05-06T02:17:44Z,2026-05-06T02:16:21Z,2026-05-06T02:16:21Z,1e4489577b9ba9486a711823abd26ee1652c020a,1c83e2ecb87b4948c919643b37a80d9e4aa8a417,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
46,solver: add OU narrow-band Fourier forcing,closed,true,false,2026-05-06T02:17:42Z,2026-05-06T02:20:32Z,2026-05-06T02:18:57Z,2026-05-06T02:18:57Z,f429e3f8599176296f35993b607891e774ef7b4f,39506e315a2abfec481ce5fed10669e51ec09495,unknown,4,unknown,unknown,unknown,stats unavailable in bulk metadata
47,feat: add forced turbulence validation harness,closed,true,false,2026-05-06T02:42:40Z,2026-05-06T02:44:12Z,2026-05-06T02:44:07Z,2026-05-06T02:44:07Z,7f33e1db47a7dfb735d10a07ab9acfb76e73bbd4,9a5d6e3269d5d78925b0fd10319b88111f3f7763,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
48,feat: add forced turbulence resolution sensitivity study,closed,true,false,2026-05-06T03:10:18Z,2026-05-06T03:13:52Z,2026-05-06T03:12:05Z,2026-05-06T03:12:05Z,9daba45bc0b680aac785670aae6663562ff1052f,a8f927a9302ab92e565ec04b5489559e0abf58bd,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
49,license: switch project license to GPLv3,closed,true,false,2026-05-06T03:23:15Z,2026-05-06T03:24:39Z,2026-05-06T03:23:22Z,2026-05-06T03:23:22Z,d4c9a47a480e6519155c73d5affd396775e1fd6f,479fd71aa23a71ee77d2e086421b4d45446c9cae,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
50,license: switch project license to GPLv3,closed,true,false,2026-05-06T03:24:00Z,2026-05-06T03:42:38Z,2026-05-06T03:42:38Z,2026-05-06T03:42:38Z,3f5835e591dcb923bc6f40debf9191b87f2eb79e,e95c392306f495852de89faf5cb392fd30ba87c0,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
51,Docs/add orcid citation authors,closed,true,false,2026-05-06T04:00:13Z,2026-05-06T04:00:23Z,2026-05-06T04:00:23Z,2026-05-06T04:00:23Z,c3f5633cc747e155760b5acaeb8c8bdbf6241937,0e7257fdb7e3ec2222f5d04187e1a6c16796eb18,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
52,docs: add ORCID author and citation metadata,closed,true,false,2026-05-06T04:01:47Z,2026-05-06T04:03:58Z,2026-05-06T04:03:57Z,2026-05-06T04:03:57Z,b7c2e73c154c07564ee2a7198539c2cebdaed7d3,157ef36ea0ad0283cc31cd56f5029e4feaebdd0b,unknown,3,unknown,unknown,unknown,stats unavailable in bulk metadata
53,feat: add FFTW spectral solver 512,closed,true,false,2026-05-06T04:08:10Z,2026-05-06T04:10:37Z,2026-05-06T04:09:47Z,2026-05-06T04:09:47Z,feb523accd033713e9e136de98015689e850d540,4ff5657f03e0932e71b6042791f9c6166c9b26c8,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
54,feat: add hpc fftw vs baseline benchmark,closed,true,false,2026-05-06T04:24:42Z,2026-05-06T04:27:15Z,2026-05-06T04:26:31Z,2026-05-06T04:26:31Z,3c346321e4723612cbb040a9fd5023f373229c1b,8c1e7b4fa144ab47d393d704c438c413a28edcd2,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
55,docs: add reproducibility and CI auditor agent,closed,true,false,2026-05-06T13:28:13Z,2026-05-06T13:30:18Z,2026-05-06T13:29:50Z,2026-05-06T13:29:50Z,4c0fb2972af417525111320836cb6bfa79da91da,fcec6b5e5ac2ba8ef5ac239109f0d8c6bf823d21,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
56,Codex/scientific report pdf,closed,true,false,2026-05-06T15:00:45Z,2026-05-06T15:02:59Z,2026-05-06T15:00:54Z,2026-05-06T15:00:54Z,deb69b24d6050ae6b748acee63aa5d04584879ea,afc2d34e61dbdc46c80fb773c22fb0a6904410df,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
57,fix(cli): add missing mms_validation module to restore imports,closed,true,false,2026-05-06T17:15:18Z,2026-05-06T17:17:13Z,2026-05-06T17:17:13Z,2026-05-06T17:17:13Z,5e9850883fa150e5b006fa014bf1246c546f8f24,acfce31cb976209362dc6e88239bd6d19af3998e,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
58,docs(baseline): add healthy checkpoint post pdf and ci,closed,true,false,2026-05-06T20:01:15Z,2026-05-06T20:01:23Z,2026-05-06T20:01:23Z,2026-05-06T20:01:23Z,eba68339b5ec529780e847171548867f8af13e21,da5031c50b252668ba1d7fc5e279c8501e897003,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
59,docs: add Python documentation auditor agent,closed,true,false,2026-05-09T14:02:31Z,2026-05-09T14:04:08Z,2026-05-09T14:04:08Z,2026-05-09T14:04:08Z,b6e45d0459382e0e8564d87f1cdeec4311c5ce03,803d8a0b336c9bc6445e3836474195afbe60be0d,unknown,1,unknown,unknown,unknown,stats unavailable in bulk metadata
60,docs: document solver Python modules,closed,true,false,2026-05-09T14:12:43Z,2026-05-09T14:33:55Z,2026-05-09T14:33:55Z,2026-05-09T14:33:55Z,73dc3cfcf6be92d4df1fdb1d3ce7f9bf1851447e,0efe42a045893ec991021698557671ce42a68700,unknown,3,unknown,unknown,unknown,stats unavailable in bulk metadata
61,test: enforce MMS validation artifact status,closed,true,false,2026-05-09T15:10:21Z,2026-05-09T15:15:33Z,2026-05-09T15:14:44Z,2026-05-09T15:14:44Z,bbc8f32a3bec4bdcbf48b7481022dbf8cde8af61,f61ce852015387a0210fd04274a5100defc82552,unknown,2,unknown,unknown,unknown,stats unavailable in bulk metadata
62,docs: add external scientific validation protocol for 2d scope,closed,true,false,2026-05-09T22:16:02Z,2026-05-09T22:19:04Z,2026-05-09T22:18:34Z,2026-05-09T22:18:34Z,8a43695f5e2a333448c686a64b911e929b909384,b5e3c9ee2ffa578568f6b2fa84b9a6902b1eaa86,1d328e8381437a4d46402f918d4d1ffb40074e1a,1,4,131,0,stats from individual PR fetch
63,docs: add paper 2 evidence protocol,closed,true,false,2026-05-13T04:24:06Z,2026-05-13T04:26:13Z,2026-05-13T04:26:07Z,2026-05-13T04:26:07Z,1d328e8381437a4d46402f918d4d1ffb40074e1a,ababe6d25c415a844fb2116cfb5179b8bdd24849,58edd52a5518bde2367410f09f58cc8d026be23f,3,3,313,0,stats from individual PR fetch
64,docs: expand paper 2 PR evidence dataset,closed,true,false,2026-05-13T04:29:33Z,2026-05-13T04:31:04Z,2026-05-13T04:31:04Z,2026-05-13T04:31:04Z,58edd52a5518bde2367410f09f58cc8d026be23f,c7754f2dfaf2dd7563c8d704c107d787bf9cd0bb,46bc5495f2b794827b7545c22b42f1456af247e0,1,1,63,22,stats from individual PR fetch
65,docs: add paper 2 evidence metrics,closed,true,false,2026-05-13T04:34:05Z,2026-05-13T04:36:02Z,2026-05-13T04:36:02Z,2026-05-13T04:36:02Z,46bc5495f2b794827b7545c22b42f1456af247e0,3a3d0d00d87c20808b6f7dc076b2f91c113658af,dcd470a0beb667147a4832600fa007929ef0f291,1,1,176,0,stats from individual PR fetch
